Date,Sun_Alt,Deviation_From_Ideal,Regulus_Alt,Is_Visible,Visibility_Delta_Sec,Moon_Alt,Moon_Illum_%,Venus_Az,Venus_Alt,Mars_Az,Mars_Alt,Jupiter_Az,Jupiter_Alt,Neptune_Az,Neptune_Alt,Saturn_Az,Saturn_Alt,Mercury_Az,Mercury_Alt,Uranus_Az,Uranus_Alt,Pluto_Az,Pluto_Alt,Sirius_Az,Sirius_Alt,Vega_Az,Vega_Alt,Mars_Delta_Sec
2026-09-23,-5.5405,0.9595,24.2780,True,783.0000,-37.7290,86.7857,89.8811,-42.3872,96.2299,57.0955,91.6823,36.2337,265.0849,8.3996,262.5862,17.2091,85.2383,-25.0362,248.4080,69.9324,268.9631,-51.4813,157.4170,40.2440,347.0570,-19.6735,2656.0000
2026-09-24,-6.5100,0.0100,24.2776,True,1052.0000,-25.2674,92.8187,90.0134,-42.7285,95.9959,56.5140,91.6474,36.0475,265.0879,8.3728,262.5953,17.1344,85.1804,-26.4989,248.4184,69.9226,268.9651,-51.4909,157.4164,40.2439,347.0568,-19.6734,2571.0000
2026-09-25,-7.4764,0.9764,24.2808,True,1320.0000,-12.4609,97.1947,90.1481,-43.0353,95.7718,55.9376,91.6150,35.8661,265.0931,8.3424,262.6069,17.0557,85.1260,-27.9407,248.4353,69.9087,268.9690,-51.5038,157.4207,40.2451,347.0599,-19.6742,2489.0000
2026-11-03,-45.6503,39.1503,24.2745,False,N/A,27.9319,37.1841,88.6154,-31.0122,90.1478,34.8908,90.5352,29.8903,265.2171,7.3825,263.0311,14.2279,81.1061,-49.3673,249.4061,68.9620,269.0117,-51.5255,157.4125,40.2418,347.0609,-19.6750,70.0000
2026-11-04,-46.6353,40.1353,24.2740,False,N/A,14.3917,27.0541,88.3704,-30.5782,90.0494,34.4034,90.5142,29.7762,265.2198,7.3633,263.0415,14.1694,80.9158,-48.0390,249.4401,68.9271,269.0113,-51.5164,157.4120,40.2416,347.0607,-19.6750,23.0000
2026-11-05,-47.6168,41.1168,24.2772,False,N/A,1.3957,18.1640,88.1239,-30.1748,89.9544,33.9230,90.4957,29.6681,265.2245,7.3410,263.0541,14.1086,80.7320,-46.6946,249.4797,68.8885,269.0128,-51.5106,157.4163,40.2428,347.0638,-19.6758,-22.0000
