-2589-02-09,-23.4316,16.9316,54.9880,True,0.0000,68.9386,84.5626,250.6630,19.9367,248.0906,26.5241,237.7306,51.7268,258.4930,-27.9613,108.6160,70.6537,266.8932,-50.4268,236.5590,54.5357,235.6618,5.0988,175.5951,38.8240,349.4438,-16.0173,37941.7336
-2589-02-10,-22.4743,15.9743,54.9880,True,0.0000,55.9585,91.3975,250.5099,21.0140,247.9464,27.1476,237.6722,51.8405,258.4837,-27.9246,108.6758,70.6832,266.1955,-49.5037,236.5477,54.5546,235.6606,5.1176,175.5952,38.8240,349.4436,-16.0173,37907.1455
-2589-02-11,-21.5172,15.0172,54.9879,True,0.0000,42.3973,96.4993,250.3565,22.0873,247.8007,27.7707,237.6122,51.9564,258.4743,-27.8879,108.7328,70.7115,265.5151,-48.5332,236.5359,54.5743,235.6592,5.1366,175.5952,38.8240,349.4435,-16.0174,37872.1577
-2589-02-12,-20.5605,14.0605,54.9879,True,0.0000,28.4289,99.4210,250.2027,23.1565,247.6531,28.3935,237.5505,52.0744,258.4650,-27.8513,108.7870,70.7384,264.8532,-47.5174,236.5236,54.5947,235.6577,5.1557,175.5952,38.8240,349.4434,-16.0174,37836.7555
-2589-02-13,-19.6041,13.1041,54.9879,True,0.0000,14.1843,99.8068,250.0484,24.2216,247.5038,29.0160,237.4872,52.1945,258.4557,-27.8147,108.8384,70.7640,264.2109,-46.4582,236.5108,54.6159,235.6561,5.1750,175.5952,38.8240,349.4432,-16.0175,37800.9237
-2589-02-14,-18.6481,12.1481,54.9879,True,0.0000,0.1910,97.4717,249.8934,25.2822,247.3527,29.6381,237.4223,52.3166,258.4464,-27.7783,108.8870,70.7882,263.5886,-45.3575,236.4975,54.6378,235.6543,5.1944,175.5952,38.8240,349.4430,-16.0175,37764.6464
-2589-02-15,-17.6924,11.1924,54.9879,True,0.0000,-14.8312,92.4607,249.7377,26.3384,247.1996,30.2599,237.3558,52.4408,258.4371,-27.7419,108.9326,70.8111,262.9865,-44.2168,236.4837,54.6605,235.6524,5.2139,175.5952,38.8240,349.4429,-16.0176,37727.9077
-2589-02-16,-16.7369,10.2369,54.9878,True,0.0000,-29.2555,85.0601,249.5812,27.3900,247.0445,30.8814,237.2875,52.5670,258.4278,-27.7056,108.9754,70.8326,262.4047,-43.0376,236.4694,54.6839,235.6504,5.2335,175.5952,38.8239,349.4427,-16.0176,37690.6913
-2589-02-17,-15.7819,9.2819,54.9878,True,0.0000,-43.4941,75.7581,249.4237,28.4368,246.8874,31.5026,237.2177,52.6951,258.4185,-27.6694,109.0151,70.8528,261.8429,-41.8213,236.4545,54.7080,235.6483,5.2533,175.5953,38.8239,349.4425,-16.0176,37652.9805
-2589-02-18,-14.8271,8.3271,54.9878,True,0.0000,-57.4405,65.1679,249.2652,29.4788,246.7282,32.1235,237.1461,52.8252,258.4093,-27.6332,109.0519,70.8716,261.3007,-40.5692,236.4392,54.7329,235.6461,5.2731,175.5953,38.8239,349.4424,-16.0176,37614.7577
-2589-02-19,-13.8726,7.3726,54.9878,True,0.0000,-70.8984,53.9446,249.1056,30.5158,246.5667,32.7440,237.0729,52.9572,258.4001,-27.5972,109.0857,70.8890,260.7777,-39.2822,236.4233,54.7585,235.6437,5.2931,175.5953,38.8238,349.4422,-16.0176,37576.0046
-2589-02-20,-12.9184,6.4184,54.9878,True,0.0000,-82.4799,42.7189,248.9447,31.5476,246.4029,33.3642,236.9980,53.0911,258.3909,-27.5613,109.1163,70.9050,260.2731,-37.9614,236.4070,54.7848,235.6413,5.3132,175.5953,38.8238,349.4421,-16.0176,37536.7016
-2589-02-21,-11.9646,5.4646,54.9877,True,0.0000,-79.2928,32.0554,248.7824,32.5741,246.2368,33.9842,236.9215,53.2269,258.3818,-27.5255,109.1438,70.9197,259.7863,-36.6077,236.3902,54.8119,235.6387,5.3334,175.5954,38.8238,349.4420,-16.0176,37496.8282
