Year,Theory,Status,Deviation,Metric_Value
-12979,North_Shaft,FAIL,44.8172,-12.3172
-12978,Orion,FAIL,4.3919,13.7219
-12978,Leo,FAIL,18.2126,108.2126
-12978,King_Shaft,FAIL,32.2728,12.7272
-12978,Queen_Shaft,FAIL,33.1978,1.8022
-12978,North_Shaft,FAIL,44.8173,-12.3173
-12977,Orion,FAIL,4.3903,13.7203
-12977,Leo,FAIL,18.2853,108.2853
-12977,King_Shaft,FAIL,32.2763,12.7237
-12977,Queen_Shaft,FAIL,33.2006,1.7994
-12977,North_Shaft,FAIL,44.8171,-12.3171
-12976,Orion,FAIL,4.3905,13.7205
-12976,Leo,FAIL,17.5902,107.5902
-12976,King_Shaft,FAIL,32.2843,12.7157
-12976,Queen_Shaft,FAIL,33.1969,1.8031
-12976,North_Shaft,FAIL,44.8117,-12.3117
-12975,Orion,FAIL,4.3871,13.7171
-12975,Leo,FAIL,17.6618,107.6618
-12975,King_Shaft,FAIL,32.2855,12.7145
-12975,Queen_Shaft,FAIL,33.1977,1.8023
-12975,North_Shaft,FAIL,44.8088,-12.3088
-12974,Orion,FAIL,4.3838,13.7138
-12974,Leo,FAIL,17.7332,107.7332
-12974,King_Shaft,FAIL,32.2867,12.7133
-12974,Queen_Shaft,FAIL,33.1984,1.8016
-12974,North_Shaft,FAIL,44.8054,-12.3054
-12973,Orion,FAIL,4.3805,13.7105
-12973,Leo,FAIL,17.8048,107.8048
-12973,King_Shaft,FAIL,32.2878,12.7122
-12973,Queen_Shaft,FAIL,33.1991,1.8009
-12973,North_Shaft,FAIL,44.8055,-12.3055
-12972,Orion,FAIL,4.3790,13.7090
-12972,Leo,FAIL,18.3701,108.3701
-12972,King_Shaft,FAIL,32.2894,12.7106
-12972,Queen_Shaft,FAIL,33.2052,1.7948
-12972,North_Shaft,FAIL,44.8102,-12.3102
-12971,Orion,FAIL,4.3780,13.7080
-12971,Leo,FAIL,18.4423,108.4423
-12971,King_Shaft,FAIL,32.2922,12.7078
-12971,Queen_Shaft,FAIL,33.2041,1.7959
-12971,North_Shaft,FAIL,44.8083,-12.3083
-12970,Orion,FAIL,4.3769,13.7069
-12970,Leo,FAIL,18.5148,108.5148
-12970,King_Shaft,FAIL,32.2950,12.7050
-12970,Queen_Shaft,FAIL,33.2032,1.7968
-12970,North_Shaft,FAIL,44.8061,-12.3061
-12969,Orion,FAIL,4.3756,13.7056
-12969,Leo,FAIL,18.5876,108.5876
-12969,King_Shaft,FAIL,32.2980,12.7020
-12969,Queen_Shaft,FAIL,33.2025,1.7975
-12969,North_Shaft,FAIL,44.8039,-12.3039
-12968,Orion,FAIL,4.3695,13.6995
-12968,Leo,FAIL,17.8891,107.8891
-12968,King_Shaft,FAIL,32.2959,12.7041
-12968,Queen_Shaft,FAIL,33.2011,1.7989
-12968,North_Shaft,FAIL,44.7996,-12.2996
-12967,Orion,FAIL,4.3660,13.6960
-12967,Leo,FAIL,17.9615,107.9615
-12967,King_Shaft,FAIL,32.2972,12.7028
-12967,Queen_Shaft,FAIL,33.2023,1.7977
-12967,North_Shaft,FAIL,44.7998,-12.2998
-12966,Orion,FAIL,4.3621,13.6921
-12966,Leo,FAIL,18.0342,108.0342
-12966,King_Shaft,FAIL,32.2990,12.7010
-12966,Queen_Shaft,FAIL,33.2039,1.7961
-12966,North_Shaft,FAIL,44.8000,-12.3000
-12965,Orion,FAIL,4.3602,13.6902
-12965,Leo,FAIL,18.1071,108.1071
-12965,King_Shaft,FAIL,32.3012,12.6988
-12965,Queen_Shaft,FAIL,33.2060,1.7940
-12965,North_Shaft,FAIL,44.8004,-12.3004
-12964,Orion,FAIL,4.3648,13.6948
-12964,Leo,FAIL,17.4142,107.4142
-12964,King_Shaft,FAIL,32.3108,12.6892
-12964,Queen_Shaft,FAIL,33.2066,1.7934
-12964,North_Shaft,FAIL,44.7986,-12.2986
-12963,Orion,FAIL,4.3619,13.6919
-12963,Leo,FAIL,17.4865,107.4865
-12963,King_Shaft,FAIL,32.3147,12.6853
-12963,Queen_Shaft,FAIL,33.2077,1.7923
-12963,North_Shaft,FAIL,44.7971,-12.2971
-12962,Orion,FAIL,4.3586,13.6886
-12962,Leo,FAIL,17.5587,107.5587
-12962,King_Shaft,FAIL,32.3159,12.6841
-12962,Queen_Shaft,FAIL,33.2091,1.7909
-12962,North_Shaft,FAIL,44.7955,-12.2955
-12961,Orion,FAIL,4.3548,13.6848
-12961,Leo,FAIL,17.6310,107.6310
-12961,King_Shaft,FAIL,32.3175,12.6825
-12961,Queen_Shaft,FAIL,33.2107,1.7893
-12961,North_Shaft,FAIL,44.7936,-12.2936
-12960,Orion,FAIL,4.3471,13.6771
-12960,Leo,FAIL,18.1956,108.1956
-12960,King_Shaft,FAIL,32.3163,12.6837
-12960,Queen_Shaft,FAIL,33.2160,1.7840
-12960,North_Shaft,FAIL,44.7999,-12.2999
-12959,Orion,FAIL,4.3454,13.6754
-12959,Leo,FAIL,18.2681,108.2681
-12959,King_Shaft,FAIL,32.3198,12.6802
-12959,Queen_Shaft,FAIL,33.2188,1.7812
-12959,North_Shaft,FAIL,44.7996,-12.2996
-12958,Orion,FAIL,4.3436,13.6736
-12958,Leo,FAIL,18.3406,108.3406
-12958,King_Shaft,FAIL,32.3234,12.6766
-12958,Queen_Shaft,FAIL,33.2215,1.7785
-12958,North_Shaft,FAIL,44.7987,-12.2987
-12957,Orion,FAIL,4.3416,13.6716
-12957,Leo,FAIL,18.4130,108.4130
-12957,King_Shaft,FAIL,32.3271,12.6729
-12957,Queen_Shaft,FAIL,33.2219,1.7781
-12957,North_Shaft,FAIL,44.7974,-12.2974
-12956,Orion,FAIL,4.3387,13.6687
-12956,Leo,FAIL,17.7155,107.7155
-12956,King_Shaft,FAIL,32.3307,12.6693
-12956,Queen_Shaft,FAIL,33.2176,1.7824
-12956,North_Shaft,FAIL,44.7895,-12.2895
-12955,Orion,FAIL,4.3353,13.6653
-12955,Leo,FAIL,17.7868,107.7868
-12955,King_Shaft,FAIL,32.3320,12.6680
-12955,Queen_Shaft,FAIL,33.2183,1.7817
-12955,North_Shaft,FAIL,44.7896,-12.2896
-12954,Orion,FAIL,4.3319,13.6619
-12954,Leo,FAIL,17.8581,107.8581
-12954,King_Shaft,FAIL,32.3332,12.6668
-12954,Queen_Shaft,FAIL,33.2189,1.7811
-12954,North_Shaft,FAIL,44.7893,-12.2893
-12953,Orion,FAIL,4.3284,13.6584
-12953,Leo,FAIL,17.9296,107.9296
-12953,King_Shaft,FAIL,32.3345,12.6655
-12953,Queen_Shaft,FAIL,33.2196,1.7804
-12953,North_Shaft,FAIL,44.7888,-12.2888
-12952,Orion,FAIL,4.3314,13.6614
-12952,Leo,FAIL,18.4962,108.4962
-12952,King_Shaft,FAIL,32.3392,12.6608
-12952,Queen_Shaft,FAIL,33.2230,1.7770
-12952,North_Shaft,FAIL,44.7884,-12.2884
-12951,Orion,FAIL,4.3301,13.6601
-12951,Leo,FAIL,18.5686,108.5686
-12951,King_Shaft,FAIL,32.3422,12.6578
-12951,Queen_Shaft,FAIL,33.2222,1.7778
-12951,North_Shaft,FAIL,44.7859,-12.2859
-12950,Orion,FAIL,4.3286,13.6586
-12950,Leo,FAIL,17.3791,107.3791
-12950,King_Shaft,FAIL,32.3454,12.6546
-12950,Queen_Shaft,FAIL,33.2216,1.7784
-12950,North_Shaft,FAIL,44.7833,-12.2833
-12949,Orion,FAIL,4.3268,13.6568
-12949,Leo,FAIL,17.4507,107.4507
-12949,King_Shaft,FAIL,32.3490,12.6510
-12949,Queen_Shaft,FAIL,33.2215,1.7785
-12949,North_Shaft,FAIL,44.7808,-12.2808
-12948,Orion,FAIL,4.3171,13.6471
-12948,Leo,FAIL,18.0139,108.0139
-12948,King_Shaft,FAIL,32.3430,12.6570
-12948,Queen_Shaft,FAIL,33.2223,1.7777
-12948,North_Shaft,FAIL,44.7828,-12.2828
-12947,Orion,FAIL,4.3150,13.6450
-12947,Leo,FAIL,18.0865,108.0865
-12947,King_Shaft,FAIL,32.3450,12.6550
-12947,Queen_Shaft,FAIL,33.2241,1.7759
-12947,North_Shaft,FAIL,44.7827,-12.2827
-12946,Orion,FAIL,4.3143,13.6443
-12946,Leo,FAIL,18.1593,108.1593
-12946,King_Shaft,FAIL,32.3476,12.6524
-12946,Queen_Shaft,FAIL,33.2264,1.7736
-12946,North_Shaft,FAIL,44.7827,-12.2827
-12945,Orion,FAIL,4.3130,13.6430
-12945,Leo,FAIL,18.2321,108.2321
-12945,King_Shaft,FAIL,32.3506,12.6494
-12945,Queen_Shaft,FAIL,33.2291,1.7709
-12945,North_Shaft,FAIL,44.7826,-12.2826
-12944,Orion,FAIL,4.3140,13.6440
-12944,Leo,FAIL,17.5371,107.5371
-12944,King_Shaft,FAIL,32.3595,12.6405
-12944,Queen_Shaft,FAIL,33.2274,1.7726
-12944,North_Shaft,FAIL,44.7760,-12.2760
-12943,Orion,FAIL,4.3104,13.6404
-12943,Leo,FAIL,17.6092,107.6092
-12943,King_Shaft,FAIL,32.3609,12.6391
-12943,Queen_Shaft,FAIL,33.2289,1.7711
-12943,North_Shaft,FAIL,44.7740,-12.2740
-12942,Orion,FAIL,4.3065,13.6365
-12942,Leo,FAIL,17.6812,107.6812
-12942,King_Shaft,FAIL,32.3628,12.6372
-12942,Queen_Shaft,FAIL,33.2306,1.7694
-12942,North_Shaft,FAIL,44.7757,-12.2757
-12941,Orion,FAIL,4.3023,13.6323
-12941,Leo,FAIL,17.7531,107.7531
-12941,King_Shaft,FAIL,32.3648,12.6352
-12941,Queen_Shaft,FAIL,33.2323,1.7677
-12941,North_Shaft,FAIL,44.7768,-12.2768
-12940,Orion,FAIL,4.2989,13.6289
-12940,Leo,FAIL,18.3186,108.3186
-12940,King_Shaft,FAIL,32.3667,12.6333
-12940,Queen_Shaft,FAIL,33.2392,1.7608
-12940,North_Shaft,FAIL,44.7806,-12.2806
-12939,Orion,FAIL,4.2969,13.6269
-12939,Leo,FAIL,18.3909,108.3909
-12939,King_Shaft,FAIL,32.3704,12.6296
-12939,Queen_Shaft,FAIL,33.2410,1.7590
-12939,North_Shaft,FAIL,44.7793,-12.2793
-12938,Orion,FAIL,4.2949,13.6249
-12938,Leo,FAIL,18.4630,108.4630
-12938,King_Shaft,FAIL,32.3742,12.6258
-12938,Queen_Shaft,FAIL,33.2408,1.7592
-12938,North_Shaft,FAIL,44.7774,-12.2774
-12937,Orion,FAIL,4.2928,13.6228
-12937,Leo,FAIL,18.5350,108.5350
-12937,King_Shaft,FAIL,32.3779,12.6221
-12937,Queen_Shaft,FAIL,33.2404,1.7596
-12937,North_Shaft,FAIL,44.7751,-12.2751
-12936,Orion,FAIL,4.2870,13.6170
-12936,Leo,FAIL,17.8352,107.8352
-12936,King_Shaft,FAIL,32.3772,12.6228
-12936,Queen_Shaft,FAIL,33.2376,1.7624
-12936,North_Shaft,FAIL,44.7727,-12.2727
-12935,Orion,FAIL,4.2835,13.6135
-12935,Leo,FAIL,17.9065,107.9065
-12935,King_Shaft,FAIL,32.3785,12.6215
-12935,Queen_Shaft,FAIL,33.2383,1.7617
-12935,North_Shaft,FAIL,44.7720,-12.2720
-12934,Orion,FAIL,4.2800,13.6100
-12934,Leo,FAIL,17.9778,107.9778
-12934,King_Shaft,FAIL,32.3800,12.6200
-12934,Queen_Shaft,FAIL,33.2390,1.7610
-12934,North_Shaft,FAIL,44.7710,-12.2710
-12933,Orion,FAIL,4.2770,13.6070
-12933,Leo,FAIL,18.0492,108.0492
-12933,King_Shaft,FAIL,32.3814,12.6186
-12933,Queen_Shaft,FAIL,33.2397,1.7603
-12933,North_Shaft,FAIL,44.7698,-12.2698
-12932,Orion,FAIL,4.2834,13.6134
-12932,Leo,FAIL,17.3548,107.3548
-12932,King_Shaft,FAIL,32.3891,12.6109
-12932,Queen_Shaft,FAIL,33.2408,1.7592
-12932,North_Shaft,FAIL,44.7647,-12.2647
-12931,Orion,FAIL,4.2817,13.6117
-12931,Leo,FAIL,17.4259,107.4259
-12931,King_Shaft,FAIL,32.3925,12.6075
-12931,Queen_Shaft,FAIL,33.2404,1.7596
-12931,North_Shaft,FAIL,44.7618,-12.2618
-12930,Orion,FAIL,4.2796,13.6096
-12930,Leo,FAIL,17.4974,107.4974
-12930,King_Shaft,FAIL,32.3937,12.6063
-12930,Queen_Shaft,FAIL,33.2404,1.7596
-12930,North_Shaft,FAIL,44.7590,-12.2590
-12929,Orion,FAIL,4.2771,13.6071
-12929,Leo,FAIL,17.5690,107.5690
-12929,King_Shaft,FAIL,32.3940,12.6060
-12929,Queen_Shaft,FAIL,33.2407,1.7593
-12929,North_Shaft,FAIL,44.7574,-12.2574
-12928,Orion,FAIL,4.2693,13.5993
-12928,Leo,FAIL,18.1337,108.1337
-12928,King_Shaft,FAIL,32.3910,12.6090
-12928,Queen_Shaft,FAIL,33.2439,1.7561
-12928,North_Shaft,FAIL,44.7644,-12.2644
-12927,Orion,FAIL,4.2683,13.5983
-12927,Leo,FAIL,18.2064,108.2064
-12927,King_Shaft,FAIL,32.3938,12.6062
-12927,Queen_Shaft,FAIL,33.2464,1.7536
-12927,North_Shaft,FAIL,44.7641,-12.2641
-12926,Orion,FAIL,4.2668,13.5968
-12926,Leo,FAIL,18.2791,108.2791
-12926,King_Shaft,FAIL,32.3971,12.6029
-12926,Queen_Shaft,FAIL,33.2492,1.7508
-12926,North_Shaft,FAIL,44.7636,-12.2636
-12925,Orion,FAIL,4.2649,13.5949
-12925,Leo,FAIL,18.3518,108.3518
-12925,King_Shaft,FAIL,32.4008,12.5992
-12925,Queen_Shaft,FAIL,33.2522,1.7478
-12925,North_Shaft,FAIL,44.7629,-12.2629
-12924,Orion,FAIL,4.2624,13.5924
-12924,Leo,FAIL,17.6546,107.6546
-12924,King_Shaft,FAIL,32.4060,12.5940
-12924,Queen_Shaft,FAIL,33.2483,1.7517
-12924,North_Shaft,FAIL,44.7582,-12.2582
-12923,Orion,FAIL,4.2582,13.5882
-12923,Leo,FAIL,17.7264,107.7264
-12923,King_Shaft,FAIL,32.4080,12.5920
-12923,Queen_Shaft,FAIL,33.2500,1.7500
-12923,North_Shaft,FAIL,44.7593,-12.2593
-12922,Orion,FAIL,4.2539,13.5839
-12922,Leo,FAIL,17.7980,107.7980
-12922,King_Shaft,FAIL,32.4102,12.5898
-12922,Queen_Shaft,FAIL,33.2517,1.7483
-12922,North_Shaft,FAIL,44.7600,-12.2600
-12921,Orion,FAIL,4.2495,13.5795
-12921,Leo,FAIL,17.8694,107.8694
-12921,King_Shaft,FAIL,32.4124,12.5876
-12921,Queen_Shaft,FAIL,33.2533,1.7467
-12921,North_Shaft,FAIL,44.7601,-12.2601
-12920,Orion,FAIL,4.2503,13.5803
-12920,Leo,FAIL,18.4360,108.4360
-12920,King_Shaft,FAIL,32.4172,12.5828
-12920,Queen_Shaft,FAIL,33.2595,1.7405
-12920,North_Shaft,FAIL,44.7588,-12.2588
-12919,Orion,FAIL,4.2482,13.5782
-12919,Leo,FAIL,18.5079,108.5079
-12919,King_Shaft,FAIL,32.4210,12.5790
-12919,Queen_Shaft,FAIL,33.2592,1.7408
-12919,North_Shaft,FAIL,44.7564,-12.2564
-12918,Orion,FAIL,4.2461,13.5761
-12918,Leo,FAIL,17.3172,107.3172
-12918,King_Shaft,FAIL,32.4248,12.5752
-12918,Queen_Shaft,FAIL,33.2588,1.7412
-12918,North_Shaft,FAIL,44.7536,-12.2536
-12917,Orion,FAIL,4.2440,13.5740
-12917,Leo,FAIL,17.3876,107.3876
-12917,King_Shaft,FAIL,32.4285,12.5715
-12917,Queen_Shaft,FAIL,33.2583,1.7417
-12917,North_Shaft,FAIL,44.7503,-12.2503
-12916,Orion,FAIL,4.2354,13.5654
-12916,Leo,FAIL,17.9497,107.9497
-12916,King_Shaft,FAIL,32.4237,12.5763
-12916,Queen_Shaft,FAIL,33.2571,1.7429
-12916,North_Shaft,FAIL,44.7536,-12.2536
-12915,Orion,FAIL,4.2317,13.5617
-12915,Leo,FAIL,18.0209,108.0209
-12915,King_Shaft,FAIL,32.4253,12.5747
-12915,Queen_Shaft,FAIL,33.2578,1.7422
-12915,North_Shaft,FAIL,44.7522,-12.2522
-12914,Orion,FAIL,4.2317,13.5617
-12914,Leo,FAIL,18.0923,108.0923
-12914,King_Shaft,FAIL,32.4269,12.5731
-12914,Queen_Shaft,FAIL,33.2586,1.7414
-12914,North_Shaft,FAIL,44.7506,-12.2506
-12913,Orion,FAIL,4.2316,13.5616
-12913,Leo,FAIL,18.1639,108.1639
-12913,King_Shaft,FAIL,32.4287,12.5713
-12913,Queen_Shaft,FAIL,33.2597,1.7403
-12913,North_Shaft,FAIL,44.7489,-12.2489
-12912,Orion,FAIL,4.2348,13.5648
-12912,Leo,FAIL,17.4677,107.4677
-12912,King_Shaft,FAIL,32.4377,12.5623
-12912,Queen_Shaft,FAIL,33.2587,1.7413
-12912,North_Shaft,FAIL,44.7395,-12.2395
-12911,Orion,FAIL,4.2325,13.5625
-12911,Leo,FAIL,17.5391,107.5391
-12911,King_Shaft,FAIL,32.4379,12.5621
-12911,Queen_Shaft,FAIL,33.2589,1.7411
-12911,North_Shaft,FAIL,44.7401,-12.2401
-12910,Orion,FAIL,4.2298,13.5598
-12910,Leo,FAIL,17.6106,107.6106
-12910,King_Shaft,FAIL,32.4385,12.5615
-12910,Queen_Shaft,FAIL,33.2594,1.7406
-12910,North_Shaft,FAIL,44.7410,-12.2410
-12909,Orion,FAIL,4.2266,13.5566
-12909,Leo,FAIL,17.6824,107.6824
-12909,King_Shaft,FAIL,32.4396,12.5604
-12909,Queen_Shaft,FAIL,33.2604,1.7396
-12909,North_Shaft,FAIL,44.7418,-12.2418
-12908,Orion,FAIL,4.2222,13.5522
-12908,Leo,FAIL,18.2484,108.2484
-12908,King_Shaft,FAIL,32.4400,12.5600
-12908,Queen_Shaft,FAIL,33.2658,1.7342
-12908,North_Shaft,FAIL,44.7444,-12.2444
-12907,Orion,FAIL,4.2204,13.5504
-12907,Leo,FAIL,18.3209,108.3209
-12907,King_Shaft,FAIL,32.4435,12.5565
-12907,Queen_Shaft,FAIL,33.2687,1.7313
-12907,North_Shaft,FAIL,44.7436,-12.2436
-12906,Orion,FAIL,4.2183,13.5483
-12906,Leo,FAIL,18.3934,108.3934
-12906,King_Shaft,FAIL,32.4474,12.5526
-12906,Queen_Shaft,FAIL,33.2716,1.7284
-12906,North_Shaft,FAIL,44.7425,-12.2425
-12905,Orion,FAIL,4.2158,13.5458
-12905,Leo,FAIL,18.4659,108.4659
-12905,King_Shaft,FAIL,32.4516,12.5484
-12905,Queen_Shaft,FAIL,33.2721,1.7279
-12905,North_Shaft,FAIL,44.7411,-12.2411
-12904,Orion,FAIL,4.2102,13.5402
-12904,Leo,FAIL,17.7664,107.7664
-12904,King_Shaft,FAIL,32.4532,12.5468
-12904,Queen_Shaft,FAIL,33.2689,1.7311
-12904,North_Shaft,FAIL,44.7419,-12.2419
-12903,Orion,FAIL,4.2057,13.5357
-12903,Leo,FAIL,17.8378,107.8378
-12903,King_Shaft,FAIL,32.4555,12.5445
-12903,Queen_Shaft,FAIL,33.2706,1.7294
-12903,North_Shaft,FAIL,44.7421,-12.2421
-12902,Orion,FAIL,4.2013,13.5313
-12902,Leo,FAIL,17.9090,107.9090
-12902,King_Shaft,FAIL,32.4578,12.5422
-12902,Queen_Shaft,FAIL,33.2721,1.7279
-12902,North_Shaft,FAIL,44.7417,-12.2417
-12901,Orion,FAIL,4.1968,13.5268
-12901,Leo,FAIL,17.9802,107.9802
-12901,King_Shaft,FAIL,32.4602,12.5398
-12901,Queen_Shaft,FAIL,33.2736,1.7264
-12901,North_Shaft,FAIL,44.7408,-12.2408
-12900,Orion,FAIL,4.1943,13.5243
-12900,Leo,FAIL,18.0513,108.0513
-12900,King_Shaft,FAIL,32.4626,12.5374
-12900,Queen_Shaft,FAIL,33.2750,1.7250
-12900,North_Shaft,FAIL,44.7396,-12.2396
-12899,Orion,FAIL,4.1936,13.5236
-12899,Leo,FAIL,18.1223,108.1223
-12899,King_Shaft,FAIL,32.4650,12.5350
-12899,Queen_Shaft,FAIL,33.2762,1.7238
-12899,North_Shaft,FAIL,44.7378,-12.2378
-12898,Orion,FAIL,4.1931,13.5231
-12898,Leo,FAIL,18.1934,108.1934
-12898,King_Shaft,FAIL,32.4672,12.5328
-12898,Queen_Shaft,FAIL,33.2773,1.7227
-12898,North_Shaft,FAIL,44.7356,-12.2356
