Year,Equinox_Dawn_UTC,Orion_Max_Alt,Regulus_Az_at_Dawn,Regulus_Deviation_from_East
-7590,-7590-03-25 11:24:00,18.14,71.16,18.84
-7580,-7580-03-24 11:15:00,18.18,70.97,19.03
-7570,-7570-03-25 11:04:00,18.23,71.06,18.94
-7560,-7560-03-24 10:54:00,18.27,70.72,19.28
-7550,-7550-03-24 10:45:00,18.32,70.53,19.47
-7540,-7540-03-24 10:34:00,18.36,70.61,19.39
-7530,-7530-03-24 10:24:00,18.41,70.27,19.73
-7520,-7520-03-24 10:13:00,18.45,70.35,19.65
-7510,-7510-03-24 10:04:00,18.5,70.15,19.85
-7500,-7500-03-24 09:54:00,18.54,69.8,20.2
-7490,-7490-03-25 09:43:00,18.59,69.88,20.12
-7480,-7480-03-24 09:34:00,18.63,69.67,20.33
-7470,-7470-03-25 09:23:00,18.68,69.75,20.25
-7460,-7460-03-24 09:14:00,18.73,69.54,20.46
-7450,-7450-03-25 09:03:00,18.77,69.61,20.39
-7440,-7440-03-24 08:53:00,18.82,69.25,20.75
-7430,-7430-03-24 08:44:00,18.86,69.03,20.97
-7420,-7420-03-24 08:33:00,18.91,69.1,20.9
-7410,-7410-03-24 08:24:00,18.95,68.88,21.12
-7400,-7400-03-25 08:13:00,19.0,68.95,21.05
-7390,-7390-03-25 08:03:00,19.04,68.57,21.43
-7380,-7380-03-25 07:53:00,19.09,68.79,21.21
-7370,-7370-03-25 07:43:00,19.14,68.41,21.59
-7360,-7360-03-24 07:34:00,19.18,68.18,21.82
-7350,-7350-03-25 07:23:00,19.23,68.24,21.76
-7340,-7340-03-24 07:14:00,19.27,68.0,22.0
-7330,-7330-03-25 07:03:00,19.32,68.06,21.94
-7320,-7320-03-24 06:54:00,19.37,67.82,22.18
-7310,-7310-03-25 06:43:00,19.42,67.88,22.12
-7300,-7300-03-25 06:34:00,19.46,67.64,22.36
-7290,-7290-03-25 06:25:00,19.51,67.39,22.61
-7280,-7280-03-25 06:14:00,19.56,67.44,22.56
-7270,-7270-03-25 06:05:00,19.6,67.2,22.8
-7260,-7260-03-25 05:54:00,19.65,67.24,22.76
-7250,-7250-03-25 05:45:00,19.7,66.99,23.01
-7240,-7240-03-24 05:35:00,19.75,66.58,23.42
-7230,-7230-03-25 05:24:59,19.79,66.78,23.22
-7220,-7220-03-24 05:16:00,19.84,66.52,23.48
-7210,-7210-03-25 05:05:00,19.89,66.56,23.44
-7200,-7200-03-24 04:56:00,19.94,66.3,23.7
-7190,-7190-03-25 04:45:00,19.98,66.34,23.66
-7180,-7180-03-24 04:36:00,20.03,66.07,23.93
-7170,-7170-03-24 04:27:00,20.08,65.8,24.2
-7160,-7160-03-24 04:16:00,20.13,65.83,24.17
-7150,-7150-03-24 04:07:00,20.18,65.56,24.44
-7140,-7140-03-24 03:56:59,20.23,65.75,24.25
-7130,-7130-03-24 03:48:00,20.27,65.47,24.53
-7120,-7120-03-24 03:37:00,20.32,65.5,24.5
-7110,-7110-03-24 03:28:00,20.37,65.21,24.79
-7100,-7100-03-24 03:19:00,20.42,64.93,25.07
-7090,-7090-03-25 03:09:00,20.47,65.11,24.89
-7080,-7080-03-24 03:00:00,20.51,64.82,25.18
-7070,-7070-03-25 02:49:00,20.57,64.84,25.16
-7060,-7060-03-24 02:40:00,20.61,64.55,25.45
-7050,-7050-03-24 02:31:00,20.66,64.25,25.75
-7040,-7040-03-24 02:21:00,20.71,64.43,25.57
-7030,-7030-03-24 02:12:00,20.76,64.13,25.87
-7020,-7020-03-24 02:01:00,20.81,64.14,25.86
-7010,-7010-03-24 01:52:00,20.86,63.84,26.16
-7000,-7000-03-25 01:41:59,20.91,64.01,25.99
